Date,Cash receipts from farm marketings,Crops,Equals: Gross farm value added,Equals: Net farm value added,Farm output,Farm products consumed on farms,"Intermediate goods and services purchased, other than rent",Less: Consumption of fixed capital,Less: Intermediate goods and services consumed,Livestock,Other farm income,Other than rent,Rent paid to nonoperator landlords
1964-01-01,41.715,33.534,22.053,15.205,36.06,847.403,50.884,52.231,51.027,49.164,8.599,50.555,50.702
1965-01-01,41.794,34.083,23.514,16.297,37.982,746.188,52.523,54.456,53.167,48.656,9.616,52.183,57.659
1966-01-01,43.547,35.163,22.722,15.448,38.202,687.725,55.551,57.304,55.428,51.089,9.863,55.191,52.554
1967-01-01,44.574,36.158,24.51,16.781,40.314,639.244,57.778,60.084,57.418,52.116,11.009,57.403,52.268
1968-01-01,43.824,34.486,23.663,15.898,40.161,591.004,58.954,62.183,58.687,52.363,11.259,58.573,54.37
1969-01-01,46.692,40.183,24.538,16.551,41.471,547.694,60.717,63.563,60.39,52.455,11.345,60.324,55.456
1970-01-01,48.752,43.044,25.222,17.055,42.594,573.722,62.643,64.72,61.984,53.781,10.455,62.238,53.799
1971-01-01,48.385,40.363,26.554,18.111,44.246,542.152,64.577,66.03,63.665,55.629,10.347,64.159,53.002
1972-01-01,51.001,44.854,26.604,18.017,45.431,550.587,66.174,67.977,66.77,56.43,9.808,65.746,70.235
1973-01-01,51.155,47.702,26.392,17.661,46.295,526.809,68.683,71.423,69.787,53.948,11.132,68.238,77.611
1974-01-01,49.921,45.684,25.773,17.011,43.603,630.224,63.483,75.24,63.326,53.797,9.364,63.072,60.982
1975-01-01,49.554,45.042,30.731,20.929,46.421,584.991,60.288,78.329,60.741,53.814,10.767,59.897,63.768
1976-01-01,52.601,48.516,29.355,19.531,47.28,597.763,66.089,81.533,65.41,56.251,11.49,65.661,57.698
1977-01-01,51.774,45.372,30.958,20.694,49.384,583.408,68.973,84.803,67.809,58.256,11.463,68.526,55.493
1978-01-01,55.611,51.858,29.438,19.135,51.664,476.962,78.232,87.532,76.3,59.026,16.238,77.725,56.93
1979-01-01,57.955,55.893,32.102,21.2,54.803,440.031,80.821,90.847,79.281,59.642,18.729,80.297,63.085
1980-01-01,59.373,58.534,31.093,20.165,52.488,419.038,76.029,92.157,75.339,59.784,19.56,75.537,66.721
1981-01-01,57.333,53.981,41.134,30.315,56.452,414.814,70.539,90.998,70.706,60.562,23.295,70.082,70.396
1982-01-01,58.208,55.547,43.131,32.724,57.346,374.544,70.24,89.127,70.209,60.686,39.512,69.785,67.984
1983-01-01,58.851,55.821,29.589,18.545,49.733,367.316,70.993,85.2,70.308,61.715,31.708,70.533,61.884
1984-01-01,58.524,54.625,39.686,29.919,57.124,342.087,71.855,81.424,73.439,62.366,27.014,71.39,86.473
1985-01-01,60.508,56.888,46.823,38.385,60.0,332.542,69.178,78.403,70.862,64.027,37.715,68.73,84.904
1986-01-01,62.161,60.239,45.029,37.135,58.888,317.101,71.067,74.34,70.622,63.971,39.265,70.606,65.365
1987-01-01,66.915,68.107,45.507,38.416,61.227,240.81,75.161,70.956,74.987,65.827,42.766,74.675,71.985
1988-01-01,65.363,63.492,40.602,33.276,58.748,233.288,75.977,68.371,75.724,67.311,40.291,75.485,72.024
1989-01-01,64.594,62.938,46.418,40.155,62.365,203.267,75.435,66.996,76.278,66.315,36.271,74.947,82.455
1990-01-01,66.512,65.999,49.833,44.212,65.157,179.44,77.415,66.222,78.062,67.102,36.99,76.914,82.455
1991-01-01,68.668,69.167,49.917,44.557,66.007,177.557,79.164,65.089,79.717,68.29,38.714,78.792,81.989
1992-01-01,69.983,70.371,57.813,54.669,69.444,174.896,78.477,63.097,78.258,69.717,34.474,76.898,84.602
1993-01-01,72.519,73.883,51.288,47.016,67.852,160.87,81.636,61.679,81.861,71.292,37.044,81.345,80.262
1994-01-01,72.48,71.897,61.891,60.284,74.061,163.937,84.18,61.544,83.43,73.251,35.838,82.656,84.094
1995-01-01,76.7,78.903,49.273,44.152,71.045,153.906,88.777,62.571,90.137,74.378,43.543,89.703,87.061
1996-01-01,72.063,70.763,57.337,53.746,72.533,142.466,84.446,63.667,84.594,73.906,37.556,83.237,90.872
1997-01-01,78.189,79.121,63.894,61.343,77.587,124.654,87.433,65.574,87.93,77.419,48.433,86.571,93.947
1998-01-01,78.747,79.542,62.467,58.818,78.083,129.157,90.107,67.814,90.168,78.129,58.831,89.188,92.276
1999-01-01,80.891,81.79,63.565,60.062,79.81,123.685,93.212,68.443,92.41,80.172,70.788,93.527,73.946
2000-01-01,82.516,83.661,74.272,75.411,80.806,106.421,89.416,68.154,86.159,81.559,63.595,88.398,57.433
2001-01-01,79.956,79.334,70.028,69.34,79.907,89.707,89.74,68.21,87.654,80.644,72.727,89.59,61.735
2002-01-01,81.168,79.959,72.875,73.184,79.482,101.815,88.675,68.704,84.882,82.458,72.927,87.223,55.262
2003-01-01,81.819,81.95,79.092,81.582,82.174,87.739,88.604,69.801,85.095,81.664,80.944,88.203,47.96
2004-01-01,81.259,80.969,87.564,92.537,84.844,97.45,86.614,71.49,83.309,81.517,88.4,86.204,48.404
2005-01-01,85.247,87.429,92.207,98.276,85.522,108.891,84.715,73.323,81.183,83.222,80.587,83.982,47.394
2006-01-01,86.248,88.319,90.149,94.676,85.954,133.563,86.198,74.499,83.113,84.334,88.121,85.823,50.156
2007-01-01,86.197,87.306,79.515,79.037,86.592,105.823,94.647,75.308,90.814,85.294,81.574,94.179,50.394
2008-01-01,84.249,82.71,79.346,78.36,83.562,103.689,88.709,76.546,85.97,86.487,65.168,88.324,57.515
2009-01-01,90.261,93.804,91.411,95.577,87.45,102.014,87.36,77.721,85.562,85.866,66.856,86.954,68.846
2010-01-01,92.317,96.743,88.888,91.205,87.659,101.349,87.998,78.837,87.175,86.839,61.036,87.609,82.234
2011-01-01,85.624,84.095,85.027,85.106,84.881,82.194,85.986,80.912,85.037,87.384,69.86,85.657,77.824
2012-01-01,89.533,91.113,81.007,78.621,86.0,82.52,90.323,85.014,89.507,87.273,85.25,90.022,83.536
2013-01-01,86.144,83.438,91.174,89.795,89.361,99.992,88.231,91.272,88.26,89.504,90.924,87.935,92.306
2014-01-01,90.191,92.603,89.733,85.878,90.879,109.387,90.968,98.287,91.733,87.774,94.825,90.701,104.151
2015-01-01,91.186,91.25,97.187,94.674,93.021,131.024,90.103,102.219,90.889,91.023,100.831,89.826,103.668
2016-01-01,98.636,101.315,103.712,104.868,98.616,119.464,93.887,101.606,96.025,95.771,90.442,94.451,114.965
2017-01-01,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2018-01-01,101.093,97.61,103.9,106.649,99.88,101.817,98.93,98.783,97.803,104.827,85.076,98.966,83.983
2019-01-01,101.771,96.289,94.71,92.552,98.68,116.036,101.24,98.099,100.557,107.718,83.992,101.45,90.042
2020-01-01,103.82,99.517,94.724,92.655,101.548,138.484,105.648,97.977,104.816,108.39,82.873,105.301,99.48
2021-01-01,101.109,93.427,103.037,105.027,100.536,134.443,100.264,98.672,98.742,109.999,68.752,99.8,86.131
2022-01-01,97.63,87.891,102.66,104.106,96.758,141.496,95.457,99.657,92.813,109.169,93.971,95.052,65.031
2023-01-01,97.98,89.502,106.762,109.579,99.083,146.657,96.072,99.981,94.03,108.005,97.112,95.976,70.003
