Date,Benefits from social insurance funds,Black lung benefits,Direct relief,Education,Emergency unemployment compensation,Employment and training,Energy assistance,Family assistance,Federal,Federal employees,General assistance,Government social benefits,Medicaid,Medical care,Medicare,Military medical insurance,Other,Other medical care,Pension and disability,Pension benefit guaranty,Public assistance,Railroad employees,Railroad retirement,Readjustment,Refundable tax credits,Social security,State,State and local,Supplemental Nutrition Assistance Program (SNAP),Supplemental security income,Temporary disability insurance,To persons,To the rest of the world,Unemployment insurance,Veterans' benefits,Veterans' life insurance,Workers' compensation
1945-01-01,627.0,,,,,,,900.0,4054.0,110.0,86.0,5142.0,,,,,620.0,,940.0,,1055.0,2.0,146.0,33.0,,273.0,446.0,1088.0,,,5.0,5142.0,,558.0,2565.0,272.0,
1946-01-01,1784.0,,,,,,,1057.0,8652.0,1467.0,120.0,10120.0,,,,,804.3333333333334,,1580.0,,1246.0,38.0,161.0,1313.0,,378.0,1095.0,1468.0,,,5.0,10120.0,,2600.0,5042.0,328.0,48.0
1947-01-01,1367.5,,,,,,,295.0,8383.0,762.0,164.0,10428.0,,,,,752.0,,2042.0,,1552.0,54.0,198.0,1843.0,,463.0,775.0,2045.0,,1019.0,22.0,10428.0,,1591.0,5468.0,352.0,54.5
1948-01-01,1286.0,,,,,,,364.0,7186.0,420.0,198.0,9881.0,,,,,508.0,,2111.0,,1810.0,60.0,251.0,1864.0,,554.0,790.0,2695.0,,1165.0,26.0,9881.0,,1270.0,4409.0,352.0,59.5
1949-01-01,1895.5,,,,,,,475.0,8200.0,382.0,280.0,10857.0,,,,,254.0,,2147.0,,2259.0,135.0,287.0,1898.0,,665.0,1730.0,2657.0,,1414.0,31.0,10857.0,,2247.0,4214.0,433.0,64.0
1950-01-01,3023.0,,,,,,,551.0,10227.0,32.0,290.0,13417.0,,,,,353.3333333333333,,2191.0,,2443.0,91.0,307.0,1677.0,,952.0,1366.0,3190.0,,1504.0,38.0,13417.0,,1489.0,3986.0,3109.0,75.5
1951-01-01,2140.5,,,,,,,552.0,7894.0,2.0,192.0,10538.0,,,,,180.33333333333334,,2126.0,,2371.0,47.0,318.0,1220.0,,1872.0,837.0,2644.0,,1523.0,36.0,10538.0,,886.0,3502.0,989.0,90.0
1952-01-01,2360.5,,,30.0,,,,539.0,8081.0,7.0,168.0,10994.0,,116.0,,,290.3333333333333,,2239.0,,2483.0,76.0,442.0,650.0,,2176.0,992.0,2913.0,,1590.0,43.0,10994.0,,1075.0,3343.0,784.0,100.5
1953-01-01,2760.5,,,39.0,,,,545.0,8702.0,38.0,150.0,11674.0,,140.0,,,227.66666666666666,,2399.0,,2573.0,92.0,469.0,459.0,,2980.0,954.0,2972.0,,1662.0,49.0,11674.0,,1084.0,3215.0,722.0,108.5
1954-01-01,3731.0,,,45.0,,,,573.0,10680.0,104.0,195.0,13747.0,,165.0,,,158.66666666666666,,2515.0,,2745.0,206.0,529.0,504.0,,3632.0,2014.0,3067.0,,1665.0,60.0,13747.0,,2324.0,3343.0,685.0,116.0
1955-01-01,3999.0,,,43.0,,,,613.0,11502.0,110.0,212.0,14754.0,,197.0,,,171.66666666666666,,2706.0,,2844.0,148.0,565.0,648.0,,4914.0,1340.0,3252.0,,1670.0,63.0,14754.0,,1598.0,3652.0,611.0,123.5
1956-01-01,4396.0,,,53.0,,,,633.0,12300.0,82.0,196.0,15592.0,,227.0,,,114.66666666666667,,2768.0,,2910.0,120.0,623.0,726.0,,5652.0,1373.0,3292.0,,1734.0,74.0,15592.0,,1575.0,3688.0,601.0,133.5
1957-01-01,5480.5,,,67.0,,,,714.0,14531.0,80.0,210.0,18132.0,,249.0,,,112.66666666666667,,2918.0,,3140.0,144.0,688.0,708.0,,7316.0,1724.0,3601.0,,1842.0,84.0,18132.0,,1948.0,3750.0,641.0,142.0
1958-01-01,7265.5,,,74.0,,,,836.0,18191.0,166.0,302.0,22226.0,,349.0,,,109.66666666666667,,3144.0,,3524.0,281.0,738.0,624.0,,8478.0,3797.0,4035.0,,1907.0,104.0,22226.0,,4244.0,3834.0,652.0,157.5
1959-01-01,7482.0,,,84.0,,,,934.0,18578.0,156.0,344.0,22917.0,,467.0,,,110.5,467.0,3282.0,,3791.0,289.0,833.0,479.0,,10175.0,2408.0,4339.0,,1921.0,113.0,22917.0,,2853.0,3774.0,655.0,167.5
1960-01-01,8155.0,,,99.0,,,,991.0,19867.0,138.0,322.0,24674.0,,529.0,,,121.75,529.0,3442.0,,3929.0,214.0,949.0,301.0,,11130.0,2727.0,4561.0,,1947.0,138.0,24428.0,246.0,3079.0,3745.0,660.0,177.0
1961-01-01,9728.0,,,114.0,,,,1146.0,23107.0,165.0,356.0,28365.0,,689.0,,,147.25,689.0,3647.0,,4243.0,255.0,994.0,179.0,,12614.0,3981.0,4982.0,7.0,1906.0,160.0,28089.0,276.0,4401.0,3827.0,905.0,191.0
1962-01-01,9903.0,,,138.0,,,,1288.0,23503.0,131.0,293.0,29142.0,,930.0,,,150.75,930.0,3743.0,,4600.0,183.0,1040.0,97.0,,14298.0,2868.0,5340.0,14.0,1931.0,185.0,28843.0,299.0,3182.0,3841.0,687.0,207.0
1963-01-01,10423.5,,,168.0,,,,1356.0,24644.0,150.0,279.0,30665.0,,1070.0,,,164.25,1070.0,3871.0,,4891.0,148.0,1070.0,54.0,,15245.0,2763.0,5697.0,26.0,2013.0,229.0,30341.0,324.0,3061.0,3926.0,806.0,218.0
1964-01-01,10608.5,,,199.0,,,,1500.0,25163.0,146.0,273.0,31663.0,,1255.0,,,202.0,1255.0,3954.0,,5274.0,124.0,1097.0,32.0,,16018.0,2506.0,6154.0,28.0,2051.0,249.0,31317.0,346.0,2776.0,3987.0,621.0,228.0
1965-01-01,11470.5,,,240.0,,,,1650.0,27262.0,115.0,259.0,34366.0,,1476.0,,,337.0,1476.0,4184.0,,5700.0,101.0,1140.0,9.0,,18067.0,2149.0,6651.0,45.0,2098.0,261.0,33913.0,453.0,2365.0,4193.0,632.0,238.0
1966-01-01,12684.0,,,322.0,,,,1854.0,29883.0,79.0,264.0,37968.0,1881.0,1990.0,1008.0,,433.3333333333333,109.0,4038.0,,6551.0,78.0,1202.0,83.0,,19786.0,1756.0,7621.0,84.0,2201.0,267.0,37504.0,464.0,1913.0,4121.0,677.0,257.5
1967-01-01,15542.0,,,429.0,,,,2256.0,36520.0,88.0,326.0,46307.0,2720.0,2780.0,4699.0,112.0,541.6666666666666,60.0,4446.0,,7990.0,75.0,1308.0,307.0,,21122.0,2074.0,9232.0,139.0,2360.0,285.0,45752.0,555.0,2237.0,4753.0,759.0,281.0
1968-01-01,17971.0,,,532.0,,,,2824.0,41860.0,118.0,421.0,53863.0,3997.0,4055.0,5890.0,148.0,608.0,58.0,4592.0,,10021.0,81.0,1471.0,499.0,,24598.0,2008.0,11446.0,198.0,2419.0,317.0,53306.0,557.0,2207.0,5091.0,713.0,299.0
1969-01-01,19434.5,,,629.0,,,,3545.0,45756.0,133.0,472.0,59558.0,4551.0,4616.0,6695.0,178.0,717.6666666666666,65.0,5090.0,,11591.0,94.0,1541.0,708.0,,26382.0,2100.0,13217.0,264.0,2627.0,357.0,58973.0,585.0,2327.0,5798.0,739.0,325.0
1970-01-01,23324.5,110.0,,772.0,,,,4836.0,55636.0,280.0,618.0,72458.0,5455.0,5530.0,7254.0,211.0,859.6666666666666,75.0,5433.0,,14273.0,95.0,1745.0,1154.0,,31380.0,3811.0,16101.0,1103.0,2953.0,398.0,71737.0,721.0,4186.0,6587.0,788.0,343.5
1971-01-01,27508.0,379.0,,955.0,,,,6195.0,66080.0,458.0,761.0,86223.0,6744.0,6829.0,8049.0,237.0,955.6666666666666,85.0,5884.0,,17289.0,120.0,1995.0,1656.0,,36617.0,5582.0,19332.0,1698.0,3172.0,399.0,85412.0,811.0,6160.0,7540.0,797.0,381.0
1972-01-01,30172.0,554.0,,1083.0,,,,6923.0,72855.0,492.0,740.0,95773.0,8211.0,8304.0,8836.0,263.0,1003.6666666666666,93.0,6312.0,,19642.0,87.0,2154.0,2192.0,,40948.0,5454.0,21953.0,1980.0,3365.0,417.0,94808.0,965.0,6033.0,8504.0,800.0,446.5
1973-01-01,35315.5,1057.0,,1169.0,,,,7218.0,84544.0,324.0,689.0,109786.0,9611.0,9719.0,10244.0,286.0,1067.6666666666667,108.0,6461.0,,21459.0,58.0,2566.0,2823.0,,50665.0,4188.0,24084.0,2209.0,3449.0,463.0,108628.0,1158.0,4570.0,9284.0,817.0,510.0
1974-01-01,41482.5,957.0,,1307.0,,153.0,,7955.0,103280.0,399.0,825.0,129878.0,11176.0,11482.0,12726.0,280.0,1245.3333333333333,306.0,7107.0,,22101.0,52.0,2797.0,3355.0,,57607.0,6570.0,25276.0,3433.0,2640.5,495.0,128556.0,1322.0,7021.0,10462.0,854.0,592.5
1975-01-01,52989.0,957.0,,1562.0,664.0,573.0,,9305.0,132332.0,791.0,1138.0,165121.0,13863.0,14240.0,15633.0,261.0,1992.0,377.0,7795.0,,26884.0,137.0,3265.0,5100.0,,65895.0,16548.0,30802.0,4597.0,2956.5,517.0,163134.0,1987.0,18140.0,12895.0,886.0,690.5
1976-01-01,58324.0,981.0,,1739.0,975.0,896.0,,10105.0,143505.0,912.0,1229.0,180133.0,15457.0,15854.0,18795.0,251.0,1796.0,397.0,8452.0,1.0,29596.0,219.0,3550.0,4345.0,1271.0,74501.0,14280.0,34138.0,4598.0,3068.5,511.0,177643.0,2490.0,16386.0,12797.0,936.0,858.5
1977-01-01,63008.0,972.0,,1882.0,680.0,934.0,163.0,10639.0,152443.0,742.0,1238.0,192061.0,16737.0,17335.0,22101.0,265.0,2002.3333333333333,598.0,9189.0,3.0,32025.0,174.0,3783.0,3145.0,1262.0,83239.0,11533.0,37039.0,4394.0,3153.0,570.0,189482.0,2579.0,13129.0,12334.0,980.0,973.0
1978-01-01,67245.0,1038.0,,2082.0,163.0,1908.0,140.0,10776.0,162660.0,451.0,1205.0,206169.0,18619.0,19308.0,25543.0,300.0,2557.0,689.0,9713.0,14.0,34324.0,191.0,3985.0,2823.0,1132.0,91380.0,8612.0,40767.0,4585.0,3278.0,622.0,203427.0,2742.0,9417.0,12536.0,1031.0,1099.0
1979-01-01,75613.0,1724.0,,2234.0,0.0,1687.0,282.0,11078.0,183018.0,449.0,1230.0,230383.0,21067.0,21764.0,29936.0,347.0,2860.0,697.0,10636.0,26.0,37574.0,143.0,4313.0,2411.0,1069.0,102581.0,9100.0,44316.0,6332.0,3540.5,695.0,227334.0,3049.0,9692.0,13047.0,1080.0,1278.0
1980-01-01,90464.5,1751.0,,2428.0,0.0,1724.0,1325.0,12516.0,220297.0,528.0,1442.0,275041.0,23855.0,24913.0,36201.0,358.0,4306.0,1058.0,11372.0,25.0,43952.0,238.0,4812.0,2042.0,1983.0,118586.0,15331.0,51201.0,8214.0,3970.5,780.0,271498.0,3543.0,16097.0,13414.0,1222.0,1424.0
1981-01-01,104581.5,1724.0,,2608.0,0.0,1423.0,1635.0,13144.0,250719.0,532.0,1590.0,312097.0,27746.0,29202.0,43499.0,431.0,4094.3333333333335,1456.0,12520.0,26.0,49564.0,266.0,5314.0,1924.0,1933.0,138644.0,15087.0,57090.0,10065.0,4297.5,894.0,307809.0,4288.0,15885.0,14444.0,1316.0,1577.0
1982-01-01,121082.5,1651.0,,2749.0,1117.0,1058.0,1647.0,12889.0,281882.0,340.0,1738.0,347182.0,30159.0,32055.0,50927.0,545.0,3838.6666666666665,1896.0,13310.0,44.0,53081.0,394.0,5771.0,1592.0,1834.0,153708.0,23376.0,61197.0,9896.0,4489.5,962.0,343079.0,4103.0,25227.0,14902.0,1368.0,1806.5
1983-01-01,130825.5,1688.0,,2890.0,5470.0,952.0,1703.0,13847.0,303593.0,427.0,1886.0,374124.0,33871.0,35935.0,57797.0,633.0,4224.666666666667,2064.0,13682.0,71.0,58410.0,379.0,6011.0,1351.0,1769.0,164426.0,20135.0,66906.0,11066.0,4702.5,996.0,370499.0,3625.0,26411.0,15033.0,1392.0,1957.0
1984-01-01,133725.5,1636.0,,3147.0,2304.0,779.0,1864.0,14480.0,309740.0,334.0,2034.0,384582.0,36572.0,38804.0,64748.0,689.0,4384.333333333333,2232.0,13735.0,79.0,62299.0,188.0,6065.0,1091.0,1694.0,173027.0,13165.0,71169.0,10669.0,5186.0,1146.0,380909.0,3673.0,15991.0,14826.0,1439.0,2133.5
1985-01-01,141769.5,1599.0,,3545.0,756.0,929.0,2114.0,15185.0,325852.0,312.0,2182.0,407140.0,39673.0,42425.0,69720.0,791.0,4439.0,2752.0,14048.0,103.0,67194.0,181.0,6211.0,904.0,1577.0,183275.0,14612.0,77260.0,10690.0,5529.0,1402.0,403112.0,4028.0,15861.0,14952.0,1587.0,2294.5
1986-01-01,150535.0,1579.0,,3879.0,0.0,943.0,2034.0,16138.0,344263.0,331.0,2330.0,433005.0,43645.0,46856.0,75269.0,921.0,4751.666666666667,3211.0,14187.0,160.0,73287.0,180.0,6351.0,695.0,2009.0,193631.0,15956.0,84344.0,10553.0,6039.5,1533.0,428607.0,4398.0,16467.0,14882.0,1695.0,2521.5
1987-01-01,157102.0,1541.0,,4045.0,0.0,912.0,1725.0,16415.0,357187.0,307.0,2478.0,452193.0,47836.0,51388.0,81585.0,1052.0,4983.666666666667,3552.0,14199.0,224.0,78549.0,149.0,6478.0,564.0,1936.0,200995.0,14169.0,90726.0,10607.0,6474.0,1638.0,447913.0,4280.0,14625.0,14763.0,1688.0,2959.5
1988-01-01,166041.0,1499.0,,4177.0,0.0,927.0,1753.0,16890.0,378363.0,312.0,2627.0,481444.0,53027.0,56769.0,86289.0,1264.0,5473.333333333333,3742.0,14584.0,402.0,85265.0,101.0,6708.0,427.0,3711.0,213916.0,12915.0,98501.0,11213.0,6892.5,1749.0,476864.0,4580.0,13328.0,15011.0,1712.0,3357.0
1989-01-01,179816.0,1477.0,,4623.0,0.0,944.0,1422.0,17485.0,411722.0,300.0,2888.0,526202.0,60838.0,64976.0,98175.0,1345.0,6438.333333333333,4138.0,14975.0,228.0,94855.0,91.0,6958.0,382.0,5646.0,227380.0,14019.0,109348.0,12325.0,7490.0,1865.0,521070.0,5132.0,14410.0,15357.0,1845.0,3713.0
1990-01-01,195786.0,1435.0,,5274.0,0.0,941.0,1608.0,19187.0,447019.0,359.0,2936.0,580838.0,73144.0,78176.0,107638.0,1533.0,6671.333333333333,5032.0,15550.0,274.0,111085.0,89.0,7221.0,257.0,6313.0,244135.0,17714.0,127655.0,14741.0,8335.0,2205.0,574674.0,6164.0,18162.0,15807.0,1868.0,4267.5
1991-01-01,215974.0,1413.0,,5675.0,765.0,933.0,1648.0,21132.0,493990.0,518.0,3211.0,656779.0,96911.0,102116.0,117487.0,1653.0,7378.333333333333,5205.0,15891.0,256.0,138243.0,88.0,7513.0,354.0,7175.0,264204.0,25416.0,156517.0,18264.0,9306.0,2759.0,650507.0,6272.0,26787.0,16245.0,1873.0,4708.0
1992-01-01,239493.5,1396.0,,6017.0,13468.0,1122.0,1621.0,22242.0,551754.0,1243.0,3524.0,737975.0,116248.0,121786.0,132596.0,1698.0,8062.666666666667,5538.0,16184.0,377.0,160212.0,81.0,7744.0,511.0,10549.0,281776.0,24825.0,179996.0,21295.0,11164.0,2937.0,731750.0,6225.0,39617.0,16695.0,1911.0,5165.5
1993-01-01,252271.0,1354.0,,6649.0,11932.0,1062.0,1576.0,22826.0,583725.0,1255.0,3584.0,785134.0,130104.0,135145.0,146785.0,1622.0,8758.333333333334,5041.0,16707.0,436.0,174889.0,72.0,7825.0,702.0,11649.0,297935.0,21589.0,195210.0,22211.0,12326.5,2318.0,778935.0,6199.0,34848.0,17409.0,1885.0,5444.0
1994-01-01,262514.5,1300.0,,7584.0,1671.0,1076.0,1840.0,23163.0,609001.0,776.0,3539.0,822534.0,139429.0,144886.0,164423.0,1362.0,8802.666666666666,5457.0,16934.0,431.0,185783.0,63.0,7961.0,853.0,13985.0,312161.0,21432.0,206707.0,22842.0,13134.5,2185.0,815708.0,6826.0,23942.0,17787.0,1904.0,5330.0
1995-01-01,277350.5,1216.0,,8714.0,0.0,1085.0,1406.0,22637.0,647091.0,659.0,3561.0,871520.0,149570.0,155007.0,181220.0,1047.0,9230.0,5437.0,17548.0,447.0,195781.0,62.0,8025.0,1086.0,19903.0,327675.0,21013.0,217636.0,22447.0,13863.0,2099.0,864727.0,6793.0,21734.0,18634.0,1898.0,5278.0
1996-01-01,291854.0,1151.0,,9051.0,0.0,943.0,1233.0,20325.0,682070.0,605.0,3409.0,913899.0,158188.0,163602.0,194868.0,959.0,9432.666666666666,5414.0,18274.0,583.0,201919.0,65.0,8087.0,1139.0,24336.0,342005.0,21604.0,224255.0,21953.0,14451.5,2045.0,906325.0,7574.0,22274.0,19413.0,2002.0,5442.5
1997-01-01,303864.5,1089.0,,9148.0,0.0,1034.0,1372.0,17877.0,707860.0,527.0,3322.0,943268.0,163124.0,168291.0,206917.0,942.0,9963.333333333334,5167.0,19137.0,400.0,205182.0,72.0,8198.0,1230.0,27413.0,356592.0,19504.0,227558.0,18732.0,14577.0,2038.0,935418.0,7850.0,20103.0,20367.0,1930.0,5304.5
1998-01-01,309166.5,994.0,,9826.0,0.0,1076.0,1244.0,17429.0,722136.0,446.0,3536.0,966123.0,170195.0,175278.0,205558.0,975.0,10951.0,5083.0,20147.0,448.0,212850.0,61.0,8229.0,1220.0,29192.0,369182.0,19186.0,235779.0,16465.0,15161.0,2065.0,957915.0,8208.0,19693.0,21367.0,1891.0,5146.0
1999-01-01,316748.5,985.0,,10482.0,0.0,1092.0,1398.0,17920.0,739853.0,408.0,3641.0,1000934.0,184555.0,189252.0,208736.0,1031.0,11461.333333333334,4697.0,20991.0,674.0,228330.0,65.0,8206.0,1323.0,30741.0,379864.0,20036.0,252349.0,15473.0,15511.5,2223.0,992202.0,8732.0,20509.0,22314.0,1816.0,5219.0
2000-01-01,333125.0,931.0,,11502.0,0.0,1043.0,1657.0,18440.0,773442.0,407.0,3630.0,1053772.0,199493.0,205021.0,219117.0,1159.0,11865.333333333334,5528.0,21966.0,322.0,245433.0,81.0,8267.0,1322.0,31278.0,401393.0,20253.0,271434.0,14565.0,15837.5,2650.0,1044876.0,8896.0,20741.0,23288.0,1706.0,5447.5
2001-01-01,363179.0,866.0,,12988.0,0.0,1437.0,2535.0,18106.0,840760.0,432.0,2944.0,1155628.0,227259.0,234643.0,242580.0,1317.0,13580.0,7384.0,23386.0,342.0,275878.0,98.0,8412.0,1509.0,31189.0,425084.0,31369.0,305070.0,15967.0,16581.0,3079.0,1145830.0,9798.0,31899.0,24895.0,1692.0,5976.5
2002-01-01,394842.5,839.0,,14127.0,10680.0,1621.0,1920.0,17684.0,917996.0,613.0,4762.0,1260931.0,250009.0,258543.0,259736.0,1480.0,14497.0,8534.0,26144.0,1126.0,301199.0,96.0,8700.0,1664.0,37266.0,446909.0,42091.0,333026.0,18612.0,17332.0,3410.0,1251022.0,9909.0,53480.0,27808.0,1723.0,6561.0
2003-01-01,413038.5,778.0,,15378.0,10899.0,1439.0,2262.0,18367.0,967471.0,698.0,6055.0,1331353.0,264526.0,274017.0,276708.0,2122.0,15241.0,9491.0,28180.0,1926.0,319398.0,94.0,8854.0,1933.0,42942.0,463531.0,41484.0,353524.0,22125.0,17859.5,3646.0,1320994.0,10359.0,53175.0,30113.0,1706.0,7205.0
2004-01-01,430544.0,714.0,,17083.0,1358.0,1274.0,2123.0,18418.0,1019503.0,712.0,8038.0,1415501.0,289812.0,300137.0,304359.0,2612.0,17840.333333333332,10325.0,30197.0,2212.0,348280.0,79.0,9009.0,2161.0,46678.0,485512.0,34276.0,384968.0,25946.0,18547.5,4030.0,1404471.0,11030.0,36425.0,32358.0,1681.0,7624.0
2005-01-01,456333.5,661.0,,18777.0,1.0,1183.0,2413.0,18355.0,1084373.0,671.0,12464.0,1502498.0,304414.0,315189.0,332127.0,3076.0,17545.333333333332,10775.0,32511.0,2722.0,368101.0,72.0,9194.0,2256.0,54052.0,512728.0,31031.0,406543.0,29492.0,19130.5,4316.0,1490917.0,11582.0,31775.0,34767.0,1596.0,7566.5
2006-01-01,505115.0,612.0,,19835.0,0.0,1318.0,2995.0,18226.0,1189108.0,667.0,12460.0,1605434.0,299100.0,311162.0,399107.0,3798.0,17651.0,12062.0,35014.0,2797.0,364490.0,78.0,9519.0,2264.0,56668.0,544096.0,29622.0,403920.0,29390.0,19951.5,4508.0,1593029.0,12405.0,30366.0,37278.0,1552.0,7243.5
2007-01-01,536817.0,566.0,,20793.0,0.0,1028.0,2730.0,18406.0,1263340.0,623.0,14657.0,1710625.0,324189.0,336816.0,428201.0,4016.0,18450.0,12627.0,37692.0,2499.0,393342.0,83.0,9813.0,2417.0,60123.0,575653.0,32034.0,433995.0,30921.0,21100.5,4780.0,1697335.0,13289.0,32740.0,40109.0,1516.0,7207.5
2008-01-01,578016.5,522.0,,22270.0,7826.0,1108.0,3418.0,19126.0,1463239.0,723.0,16326.0,1934796.0,338333.0,351731.0,461613.0,4379.0,21464.0,13398.0,40715.0,2191.0,412530.0,84.0,10068.0,2749.0,159908.0,605542.0,42515.0,456110.0,37034.0,22008.5,5179.0,1919349.0,15447.0,51148.0,43464.0,1522.0,7195.5
2009-01-01,663848.0,480.0,,24047.0,44010.0,1423.0,5064.0,21264.0,1614549.0,1281.0,16713.0,2123723.0,369610.0,383831.0,492951.0,4907.0,32692.666666666668,14221.0,45545.0,2058.0,448390.0,179.0,10630.0,4435.0,76810.0,664470.0,85741.0,493179.0,54762.0,23790.5,5503.0,2107728.0,15995.0,131211.0,49980.0,1493.0,7236.5
2010-01-01,690967.5,444.0,,25802.0,69893.0,1452.0,4873.0,22421.0,1757485.0,1691.0,18120.0,2297900.0,396868.0,410957.0,513390.0,5010.0,32987.666666666664,14089.0,48455.0,2370.0,477435.0,116.0,10779.0,7976.0,144341.0,690174.0,67157.0,523926.0,66515.0,24579.0,5623.0,2281411.0,16489.0,138857.0,56431.0,1442.0,7145.5
2011-01-01,697659.5,404.0,,26870.0,48290.0,1166.0,4797.0,20795.0,1779454.0,1918.0,17856.0,2327187.0,406022.0,419794.0,535609.0,5237.0,28917.333333333332,13772.0,52101.0,2407.0,484404.0,85.0,10961.0,9652.0,151420.0,713261.0,56871.0,530685.0,72728.0,25242.0,5512.0,2310139.0,17048.0,107163.0,61753.0,1411.0,6879.0
2012-01-01,719927.0,367.0,,28579.0,36633.0,1012.0,4145.0,19832.0,1781834.0,1649.0,17473.0,2340537.0,417539.0,431433.0,554746.0,5520.0,28213.333333333332,13894.0,58352.0,2377.0,493705.0,83.0,11410.0,10327.0,98683.0,762139.0,45250.0,540752.0,74851.0,26519.0,5524.0,2322586.0,17951.0,83615.0,68679.0,1340.0,6591.5
2013-01-01,736469.0,335.0,,30558.0,22414.0,1000.0,3801.0,19728.0,1821528.0,1271.0,17402.0,2404773.0,439983.0,453637.0,572843.0,5098.0,27231.333333333332,13654.0,65789.0,1744.0,515373.0,82.0,11676.0,11894.0,97626.0,799044.0,38732.0,564382.0,74657.0,27425.5,5648.0,2385910.0,18863.0,62499.0,77683.0,1280.0,6553.0
2014-01-01,755524.5,304.0,,32393.0,209.0,934.0,3962.0,20133.0,1881083.0,767.0,17493.0,2518136.0,490872.0,503083.0,600007.0,5372.0,28745.333333333332,12211.0,70779.0,2956.0,565692.0,90.0,11955.0,12060.0,114996.0,834640.0,34397.0,617541.0,69409.0,27897.0,6230.0,2498625.0,19512.0,35463.0,82839.0,1228.0,6599.5
2015-01-01,790509.5,283.0,,33055.0,0.0,956.0,3698.0,20953.0,1969866.0,592.0,19312.0,2655548.0,535913.0,547527.0,634939.0,5668.0,21961.5,11614.0,76515.0,3829.0,613212.0,90.0,12228.0,12699.0,125884.0,871793.0,31864.0,665280.0,68737.0,28330.5,6124.0,2635146.0,20402.0,32545.0,91291.0,1185.0,6353.5
2016-01-01,814735.0,274.0,,35010.0,0.0,1018.0,3553.0,20219.0,2024223.0,452.0,20250.0,2738215.0,562783.0,574219.0,662108.0,5270.0,22133.75,11436.0,80150.0,1717.0,639989.0,132.0,12352.0,11818.0,130814.0,896472.0,31454.0,693059.0,65502.0,28224.5,6464.0,2717282.0,20933.0,32038.0,95588.0,1096.0,5976.5
