Date,Cash receipts from farm marketings,Change in farm finished goods inventories,Change in farm inventories,Compensation of employees,Corporate profits,Crops,Current transfer payments,Equals: Gross farm value added,Equals: Net farm value added,Farm output,Farm products consumed on farms,"Intermediate goods and services purchased, other than rent",Less: Change in farm materials and supplies inventories,Less: Consumption of fixed capital,Less: Intermediate goods and services consumed,Less: Subsidies to operators,Livestock,Net interest,Net operating surplus,Other farm income,Other than rent,Proprietors' income,Proprietors' income and corporate profits with inventory valuation and capital consumption adjustments,Rent paid to nonoperator landlords,Supplements to wages and salaries,Taxes on production and imports,Wages and salaries
1965-01-01,39566.0,822.0,822.0,3558.0,156.0,9338.5,13.0,19939.0,16333.0,41586.0,811.0,19488.0,,3606.0,21647.0,2143.0,10855.5,1406.0,13604.0,387.0,19488.0,12029.0,12185.0,2158.0,178.0,1322.0,3380.0
1966-01-01,43888.0,-500.0,-500.0,3623.0,166.0,9070.5,14.0,20826.0,16943.0,44628.0,824.0,21574.0,,3883.0,23803.0,2871.0,12623.5,1587.0,14785.0,416.0,21574.0,13018.0,13184.0,2229.0,209.0,1412.0,3414.0
1967-01-01,42592.0,885.0,885.0,3629.0,77.0,9506.0,15.0,20120.0,15929.0,44697.0,736.0,22460.0,,4191.0,24577.0,2703.0,12232.5,1784.0,13517.0,484.0,22460.0,11642.0,11719.0,2118.0,217.0,1493.0,3412.0
1968-01-01,42907.0,1372.0,1372.0,3768.0,101.0,9287.0,13.0,20497.0,16024.0,45518.0,719.0,22784.0,,4473.0,25021.0,3030.0,12852.5,1916.0,13690.0,521.0,22784.0,11660.0,11761.0,2237.0,231.0,1602.0,3537.0
1969-01-01,48191.0,18.0,18.0,4023.0,732.0,9707.0,16.0,22826.0,18060.0,49499.0,731.0,24372.0,,4766.0,26673.0,3319.0,14397.5,2087.0,15668.0,559.0,24372.0,12833.0,13565.0,2301.0,260.0,1693.0,3763.0
1970-01-01,51302.0,-838.0,-838.0,4215.0,665.0,10133.5,15.0,23685.0,18624.0,51782.0,776.0,25794.0,,5061.0,28097.0,3266.0,15098.5,2319.0,15893.0,542.0,25794.0,12894.0,13559.0,2303.0,273.0,1787.0,3942.0
1971-01-01,52424.0,1661.0,1661.0,4211.0,780.0,11572.5,19.0,25372.0,19933.0,55438.0,744.0,27676.0,,5438.0,30067.0,2782.0,15469.5,2473.0,16658.0,610.0,27676.0,13386.0,14166.0,2391.0,299.0,1849.0,3912.0
1972-01-01,61581.0,289.0,289.0,4349.0,1346.0,12920.5,20.0,29651.0,23803.0,63374.0,889.0,30292.0,,5847.0,33723.0,3524.0,18014.5,2676.0,21065.0,615.0,30292.0,17023.0,18369.0,3432.0,324.0,1920.0,4025.0
1973-01-01,87908.0,1527.0,1527.0,5127.0,3385.0,20922.0,23.0,46761.0,40408.0,91298.0,1115.0,39128.0,,6353.0,44537.0,2335.0,23795.0,3173.0,35655.0,749.0,39128.0,29075.0,32460.0,5409.0,429.0,1970.0,4698.0
1974-01-01,92774.0,-2781.0,-2781.0,5990.0,1672.0,24106.5,25.0,44244.0,36756.0,91988.0,1190.0,42719.0,,7488.0,47744.0,478.0,20890.0,3963.0,29128.0,805.0,42719.0,23468.0,25140.0,5025.0,517.0,2130.0,5473.0
1975-01-01,88897.0,3360.0,3360.0,6482.0,2151.0,25106.0,28.0,45625.0,36676.0,94384.0,1129.0,43789.0,,8949.0,48759.0,732.0,21022.0,4528.0,28705.0,998.0,43789.0,21999.0,24150.0,4971.0,638.0,2247.0,5844.0
1976-01-01,94696.0,-838.0,-838.0,7345.0,1352.0,24111.0,30.0,43019.0,33030.0,96121.0,1185.0,48618.0,,9989.0,53102.0,670.0,22817.5,5309.0,23901.0,1079.0,48618.0,17210.0,18562.0,4484.0,813.0,2480.0,6532.0
1977-01-01,92677.0,4533.0,4533.0,7794.0,1457.0,25410.0,30.0,43532.0,32338.0,99490.0,1161.0,51516.0,,11194.0,55958.0,1657.0,23195.0,6199.0,23650.0,1120.0,51516.0,15964.0,17421.0,4443.0,924.0,2576.0,6870.0
1978-01-01,113313.0,1371.0,1371.0,8172.0,2594.0,28398.5,32.0,50726.0,38207.0,117591.0,1215.0,61530.0,,12518.0,66865.0,2483.0,28943.5,7445.0,29993.0,1692.0,61530.0,19922.0,22516.0,5335.0,943.0,2568.0,7229.0
1979-01-01,133416.0,3568.0,3568.0,8899.0,3376.0,33445.0,33.0,60103.0,45825.0,140461.0,1346.0,73538.0,,14278.0,80357.0,1015.0,35047.0,9587.0,35146.0,2130.0,73538.0,22150.0,25526.0,6820.0,996.0,2824.0,7903.0
1980-01-01,140267.0,-6114.0,-6114.0,9198.0,182.0,32411.5,39.0,51368.0,35005.0,137795.0,1233.0,78872.0,,16363.0,86427.0,1006.0,34665.0,12092.0,24020.0,2410.0,78872.0,11707.0,11889.0,7555.0,980.0,2815.0,8218.0
1981-01-01,139607.0,8760.0,8760.0,8955.0,2486.0,39465.5,38.0,64952.0,46937.0,152608.0,1214.0,79666.0,,18015.0,87656.0,1488.0,34718.0,14854.0,36405.0,3027.0,79666.0,19028.0,21514.0,7990.0,911.0,3103.0,8044.0
1982-01-01,135277.0,5754.0,5754.0,10014.0,723.0,35709.5,34.0,60412.0,41326.0,146978.0,1129.0,78561.0,,19086.0,86566.0,2153.0,34806.5,16545.0,30616.0,4817.0,78561.0,13314.0,14037.0,8005.0,876.0,2880.0,9138.0
1983-01-01,140186.0,-15355.0,-15355.0,9660.0,-2502.0,27800.5,27.0,44934.0,25990.0,130024.0,1049.0,77903.0,,18944.0,85091.0,7515.0,34615.0,17065.0,20763.0,4144.0,77903.0,6173.0,3671.0,7187.0,851.0,3081.0,8809.0
1984-01-01,144605.0,5728.0,5728.0,9748.0,2382.0,39542.5,26.0,64151.0,45519.0,154879.0,1017.0,80556.0,,18632.0,90728.0,7043.0,35624.0,16519.0,39865.0,3529.0,80556.0,20938.0,23320.0,10172.0,956.0,2951.0,8792.0
1985-01-01,136348.0,5754.0,5754.0,9904.0,2735.0,37049.5,26.0,63703.0,45547.0,147668.0,926.0,74190.0,,18157.0,83964.0,6294.0,34001.5,15142.0,38884.0,4639.0,74190.0,20981.0,23716.0,9774.0,983.0,3053.0,8921.0
1986-01-01,135295.0,-1450.0,-1450.0,9271.0,3078.0,31876.5,26.0,59891.0,42039.0,139187.0,896.0,71811.0,,17852.0,79296.0,9546.0,35046.0,13411.0,39310.0,4446.0,71811.0,22795.0,25873.0,7485.0,935.0,3005.0,8336.0
1987-01-01,147599.0,-6418.0,-6418.0,9412.0,4224.0,33007.0,-23.0,62043.0,44609.0,147055.0,743.0,76384.0,,17435.0,85011.0,13512.0,37583.0,12330.0,45425.0,5131.0,76384.0,28894.0,33118.0,8628.0,1023.0,3284.0,8389.0
1988-01-01,159414.0,-11877.0,-11877.0,10576.0,4107.0,34737.0,-484.0,61386.0,44096.0,153681.0,732.0,83448.0,,17290.0,92295.0,11744.0,39031.5,11522.0,41935.0,5412.0,83448.0,26790.0,30896.0,8847.0,1112.0,3328.0,9464.0
1989-01-01,166110.0,-14.0,-14.0,11409.0,6793.0,41584.0,358.0,73945.0,56357.0,171924.0,672.0,87465.0,,17588.0,97980.0,9309.0,41464.0,10573.0,50749.0,5157.0,87465.0,33025.0,39818.0,10515.0,1409.0,3507.0,10000.0
1990-01-01,171935.0,2380.0,2380.0,13435.0,6956.0,42384.5,594.0,77781.0,59833.0,179887.0,640.0,90987.0,,17948.0,102105.0,7643.0,44773.0,10563.0,50269.0,4932.0,90987.0,32157.0,39112.0,11118.0,1769.0,3772.0,11666.0
1991-01-01,170620.0,-1107.0,-1275.0,13236.0,5323.0,41359.5,308.0,70372.0,52119.0,175266.0,607.0,93979.0,-168.0,18253.0,104893.0,6903.0,43397.0,9525.0,41938.0,5145.0,94148.0,26786.0,32105.0,10746.0,1935.0,3846.0,11301.0
1992-01-01,172343.0,4977.0,6262.0,13008.0,8359.0,45296.0,219.0,79858.0,61610.0,182577.0,575.0,92906.0,1285.0,18248.0,102719.0,7716.0,43364.0,8909.0,52245.0,4682.0,91621.0,34764.0,43117.0,11098.0,1947.0,4066.0,11061.0
1993-01-01,182359.0,-5889.0,-6176.0,14191.0,6459.0,42427.5,315.0,71272.0,52994.0,182156.0,543.0,99743.0,-287.0,18277.0,110885.0,11292.0,45807.5,8174.0,46304.0,5144.0,100030.0,31366.0,37815.0,10855.0,2258.0,3781.0,11933.0
1994-01-01,181111.0,10804.0,12033.0,14435.0,9330.0,51254.5,334.0,83594.0,64838.0,197496.0,511.0,103991.0,1229.0,18756.0,113903.0,6644.0,44703.0,8669.0,52984.0,5070.0,102762.0,34663.0,43981.0,11141.0,2222.0,4048.0,12213.0
1995-01-01,194257.0,-9178.0,-11047.0,15484.0,4442.0,48807.0,-319.0,68402.0,48846.0,191897.0,479.0,110144.0,-1869.0,19556.0,123495.0,6137.0,43732.5,9140.0,35270.0,6338.0,112012.0,22021.0,26449.0,11482.0,2405.0,4214.0,13079.0
1996-01-01,201510.0,7759.0,8656.0,16028.0,11072.0,58733.5,589.0,92639.0,72369.0,215813.0,447.0,111727.0,897.0,20270.0,123174.0,6221.0,45901.0,9318.0,58299.0,6098.0,110831.0,37334.0,48392.0,12343.0,2276.0,4245.0,13752.0
1997-01-01,208708.0,2843.0,3271.0,17143.0,8857.0,57725.0,1174.0,88136.0,67046.0,219380.0,414.0,118597.0,427.0,21089.0,131244.0,6357.0,48050.5,9407.0,51807.0,7414.0,118170.0,32385.0,41227.0,13075.0,2248.0,4435.0,14894.0
1998-01-01,198104.0,807.0,1266.0,18139.0,6981.0,52462.0,302.0,80019.0,57987.0,207822.0,382.0,116112.0,459.0,22032.0,127803.0,10530.0,46994.0,10234.0,46078.0,8529.0,115653.0,28574.0,35542.0,12150.0,2257.0,4208.0,15883.0
1999-01-01,191785.0,-1585.0,-2730.0,18808.0,5502.0,47569.5,-258.0,71655.0,49043.0,199949.0,350.0,117374.0,-1145.0,22612.0,128295.0,18577.0,47530.5,10677.0,43951.0,9399.0,118519.0,28043.0,33532.0,9776.0,2639.0,4744.0,16169.0
2000-01-01,197589.0,-2016.0,-1398.0,19645.0,7423.0,48290.5,-347.0,76656.0,53850.0,204316.0,318.0,120213.0,618.0,22807.0,127660.0,19960.0,49496.0,11192.0,49449.0,8426.0,119595.0,31194.0,38605.0,8065.0,2676.0,4626.0,16970.0
2001-01-01,201873.0,610.0,37.0,20831.0,8240.0,48099.0,-208.0,79028.0,55879.0,212335.0,286.0,123843.0,-574.0,23150.0,133306.0,19987.0,53142.5,10185.0,50344.0,9565.0,124416.0,32138.0,40367.0,8890.0,2912.0,4628.0,17919.0
2002-01-01,195768.0,-3729.0,-2497.0,20789.0,6486.0,49326.5,114.0,75073.0,51521.0,202364.0,281.0,120752.0,1232.0,23551.0,127291.0,10763.0,46693.5,9699.0,36603.0,10044.0,119521.0,20305.0,26791.0,7771.0,2878.0,4893.0,17911.0
2003-01-01,215516.0,299.0,67.0,20488.0,11687.0,55487.5,-123.0,92417.0,68124.0,227873.0,275.0,128093.0,-232.0,24293.0,135456.0,14167.0,52420.5,7899.0,56582.0,11783.0,128325.0,37120.0,48807.0,7132.0,2914.0,5222.0,17574.0
2004-01-01,240172.0,9020.0,8807.0,22179.0,18243.0,62567.5,648.0,120924.0,95266.0,263177.0,340.0,134436.0,-213.0,25658.0,142254.0,11068.0,62028.5,7572.0,78853.0,13645.0,134649.0,52391.0,70633.0,7605.0,3225.0,5302.0,18954.0
2005-01-01,241431.0,-104.0,225.0,22033.0,14345.0,57546.5,865.0,106316.0,78832.0,253551.0,384.0,139929.0,329.0,27484.0,147235.0,20914.0,63117.0,9245.0,72369.0,11840.0,139600.0,47914.0,62259.0,7636.0,3012.0,5345.0,19022.0
2006-01-01,245492.0,-3282.0,-3577.0,21886.0,10182.0,61610.0,353.0,98279.0,69382.0,256244.0,465.0,149438.0,-295.0,28896.0,157965.0,13489.0,59495.5,10280.0,55116.0,13569.0,149734.0,34301.0,44483.0,8232.0,3122.0,5871.0,18764.0
2007-01-01,289969.0,-457.0,647.0,25338.0,12926.0,75704.0,1363.0,117852.0,87775.0,304793.0,403.0,179447.0,1104.0,30077.0,186941.0,10620.0,69052.5,10526.0,66315.0,14878.0,178343.0,41499.0,54425.0,8599.0,4080.0,6743.0,21258.0
2008-01-01,315139.0,-1620.0,-516.0,25680.0,11819.0,87184.5,1300.0,118766.0,87075.0,327859.0,390.0,199696.0,1104.0,31690.0,209093.0,10346.0,69575.0,11947.0,64591.0,13950.0,198592.0,39526.0,51345.0,10502.0,4548.0,7150.0,21132.0
2009-01-01,292043.0,-7764.0,-6660.0,25747.0,6614.0,82503.0,427.0,102461.0,69839.0,297682.0,345.0,184241.0,1104.0,32623.0,195220.0,10361.0,59636.5,12543.0,47179.0,13057.0,183137.0,27596.0,34209.0,12083.0,4398.0,7273.0,21349.0
2010-01-01,321651.0,-13255.0,-12151.0,24281.0,10884.0,84248.5,1183.0,117043.0,83980.0,320921.0,386.0,190773.0,1104.0,33063.0,203878.0,10516.0,69949.5,11953.0,62715.0,12139.0,189669.0,38696.0,49580.0,14208.0,3989.0,7516.0,20292.0
2011-01-01,366308.0,-3181.0,-2077.0,23097.0,19957.0,99863.0,-996.0,151135.0,116434.0,380318.0,368.0,213876.0,1104.0,34701.0,229182.0,8825.0,81700.5,11380.0,94271.0,16822.0,212772.0,63930.0,83887.0,16411.0,3773.0,7904.0,19323.0
2012-01-01,401929.0,-19794.0,-18690.0,28304.0,17430.0,106648.5,-6728.0,148752.0,111665.0,404167.0,384.0,238124.0,1104.0,37087.0,255414.0,8759.0,84419.0,12230.0,83911.0,21647.0,237020.0,60980.0,78409.0,18395.0,4557.0,8218.0,23746.0
2013-01-01,404086.0,10302.0,11406.0,28689.0,17817.0,116802.0,-15.0,184473.0,144132.0,437566.0,489.0,233728.0,1104.0,40342.0,253093.0,8915.0,90391.5,10489.0,115824.0,22690.0,232624.0,87532.0,105350.0,20470.0,4920.0,8534.0,23768.0
2014-01-01,423971.0,-3907.0,-2803.0,29109.0,11881.0,103036.5,477.0,167051.0,122765.0,442202.0,588.0,251590.0,1104.0,44286.0,275151.0,8102.0,106995.5,10984.0,91828.0,21550.0,250486.0,68487.0,80367.0,24665.0,4931.0,9931.0,24178.0
2015-01-01,380926.0,420.0,1526.0,27205.0,4185.0,92035.5,1465.0,146259.0,99771.0,403163.0,622.0,235260.0,1106.0,46489.0,256904.0,9195.0,98636.5,11305.0,72416.0,21195.0,234154.0,55460.0,59645.0,22749.0,4527.0,9345.0,22678.0
2016-01-01,365623.0,-4402.0,-5390.0,29030.0,5337.0,94552.5,3934.0,130270.0,83621.0,379793.0,498.0,225964.0,-988.0,46649.0,249523.0,11420.0,86058.5,11946.0,57243.0,18074.0,226953.0,36024.0,41362.0,22571.0,5136.0,8768.0,23894.0
2017-01-01,380920.0,-6061.0,-5679.0,30857.0,7060.0,93881.0,1179.0,138731.0,92133.0,395529.0,433.0,237168.0,382.0,46598.0,256798.0,10115.0,93548.5,12739.0,61983.0,20236.0,236786.0,41005.0,48065.0,20012.0,5637.0,9408.0,25220.0
2018-01-01,385329.0,-8235.0,-7934.0,28423.0,15747.0,92915.5,2357.0,136825.0,89926.0,395074.0,436.0,241384.0,301.0,46899.0,258248.0,12446.0,95632.0,14373.0,64607.0,17543.0,241083.0,32131.0,47877.0,17165.0,4669.0,9342.0,23754.0
2019-01-01,385319.0,-15239.0,-15356.0,28627.0,11827.0,88913.0,-2083.0,122630.0,75104.0,388056.0,487.0,247712.0,-117.0,47526.0,265426.0,21109.0,96127.0,14286.0,57815.0,17488.0,247829.0,33785.0,45612.0,17597.0,4709.0,9771.0,23918.0
2020-01-01,382754.0,-11291.0,-10049.0,30592.0,16611.0,95176.0,-1303.0,119042.0,70945.0,389475.0,571.0,252908.0,1243.0,48097.0,270434.0,45016.0,90555.0,13377.0,75030.0,17443.0,251665.0,46344.0,62956.0,18769.0,4706.0,10339.0,25886.0
2021-01-01,458160.0,-3084.0,-1423.0,30590.0,27731.0,120679.0,1644.0,183635.0,132970.0,472905.0,650.0,272228.0,1661.0,50665.0,289270.0,26599.0,106859.5,13281.0,118202.0,17178.0,270567.0,75546.0,103277.0,18703.0,4828.0,10777.0,25762.0
2022-01-01,559202.0,-14011.0,-12280.0,35733.0,39501.0,133674.5,-1034.0,241864.0,185089.0,574223.0,881.0,317562.0,1731.0,56775.0,332359.0,13504.0,138921.5,16807.0,151199.0,28151.0,315831.0,95925.0,135426.0,16528.0,5795.0,11661.0,29938.0
2023-01-01,529976.0,-3511.0,-2788.0,37618.0,29238.0,130330.0,-3645.0,222304.0,162961.0,555343.0,866.0,315422.0,722.0,59343.0,333039.0,9630.0,132902.5,25137.0,121998.0,28011.0,314699.0,71268.0,100506.0,18340.0,7643.0,12975.0,29975.0
