Date,Cash receipts from farm marketings,Crops,Equals: Gross farm value added,Equals: Net farm value added,Farm output,Farm products consumed on farms,"Intermediate goods and services purchased, other than rent",Less: Consumption of fixed capital,Less: Intermediate goods and services consumed,Livestock,Other farm income,Other than rent,Rent paid to nonoperator landlords
2011-01-01,112.31,122.958,128.126,148.494,113.282,103.453,104.876,92.039,104.949,101.371,118.994,104.905,105.371
2012-01-01,117.851,130.722,132.363,154.156,118.818,107.536,111.16,93.621,111.121,104.592,125.483,111.193,110.036
2013-01-01,123.144,135.882,145.844,174.218,123.799,112.99,111.695,94.853,111.667,109.983,123.316,111.721,110.814
2014-01-01,123.406,117.298,134.192,155.159,123.021,124.136,116.614,96.695,116.802,130.004,112.306,116.631,118.342
2015-01-01,109.667,105.673,108.478,114.381,109.577,109.683,110.092,97.601,110.069,113.977,103.875,110.089,109.658
2016-01-01,97.312,99.221,90.54,86.547,97.369,96.292,101.48,98.528,101.19,95.254,98.752,101.478,98.105
2017-01-01,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2018-01-01,100.064,102.435,94.925,91.52,100.005,98.97,102.878,101.887,102.824,97.67,101.896,102.879,102.136
2019-01-01,99.395,102.469,93.331,88.077,99.423,96.939,103.167,103.968,102.787,96.328,102.893,103.168,97.66
2020-01-01,96.785,103.954,90.587,83.107,96.969,95.13,100.936,105.349,100.471,89.832,104.01,100.933,94.279
2021-01-01,118.957,133.09,128.466,137.416,118.925,111.614,114.481,110.194,114.08,105.473,123.472,114.495,108.508
2022-01-01,150.366,162.285,169.824,192.971,150.043,143.819,140.27,122.26,139.445,138.472,148.037,140.325,127.004
2023-01-01,141.999,150.31,150.092,161.414,141.704,136.396,138.433,127.377,137.922,133.28,142.538,138.476,130.913
