Date,Change in farm materials and supplies inventories,"Consumption of fixed capital, NIPAs",Corporate profits,"Depreciation and other consumption of farm capital, USDA",Equals: Farm proprietors' income and corporate profits with inventory valuation and capital consumption adjustments,Farm housing expenses excluding depreciation,"Gross rental value of farm housing, NIPAs",Monetary interest received by farm corporations,"Net farm income, USDA",Other,Patronage dividends received from cooperatives,Proprietors' income,Statistical differences,"Valuation adjustment, Commodity Credit Corporation loans"
1999-01-01,-1145.0,22612.0,5502.0,17662.0,33532.0,4806.0,10591.0,803.0,47690.0,2030.0,624.0,28043.0,305.0,-122.0
2000-01-01,618.0,22807.0,7423.0,17849.0,38605.0,5720.0,12746.0,853.0,50685.0,1033.0,577.0,31194.0,375.0,417.0
2001-01-01,-574.0,23150.0,8240.0,18131.0,40367.0,6086.0,13142.0,447.0,54886.0,1766.0,555.0,32138.0,15.0,18.0
2002-01-01,1232.0,23551.0,6486.0,18630.0,26791.0,6218.0,13173.0,331.0,39001.0,1688.0,198.0,20305.0,0.0,-12.0
2003-01-01,-232.0,24293.0,11687.0,21442.0,48807.0,6415.0,13251.0,356.0,60973.0,1779.0,218.0,37120.0,2257.0,1651.0
2004-01-01,-213.0,25658.0,18243.0,23081.0,70633.0,6825.0,15435.0,334.0,87418.0,1976.0,245.0,52391.0,2599.0,-899.0
2005-01-01,329.0,27484.0,14345.0,24933.0,62259.0,7155.0,17145.0,340.0,78763.0,1553.0,272.0,47914.0,2710.0,-98.0
2006-01-01,-295.0,28896.0,10182.0,26238.0,44483.0,7375.0,17714.0,425.0,57437.0,696.0,298.0,34301.0,2786.0,3694.0
2007-01-01,1104.0,30077.0,12926.0,27028.0,54425.0,8817.0,18257.0,518.0,70013.0,801.0,728.0,41499.0,2860.0,-332.0
2008-01-01,1104.0,31690.0,11819.0,16956.0,51345.0,8987.0,18377.0,372.0,77984.0,444.0,379.0,39526.0,3168.0,0.0
2009-01-01,1104.0,32623.0,6614.0,16178.0,34209.0,9312.0,18057.0,288.0,62178.0,593.0,377.0,27596.0,3201.0,0.0
2010-01-01,1104.0,33063.0,10884.0,17555.0,49580.0,9003.0,18037.0,250.0,77098.0,656.0,368.0,38696.0,3307.0,0.0
2011-01-01,1104.0,34701.0,19957.0,18489.0,83887.0,9144.0,19169.0,207.0,113550.0,517.0,681.0,63930.0,3540.0,0.0
2012-01-01,1104.0,37087.0,17430.0,34251.0,78409.0,8856.0,19439.0,178.0,96376.0,945.0,1005.0,60980.0,3880.0,0.0
2013-01-01,1104.0,40342.0,17817.0,38056.0,105350.0,8253.0,19021.0,160.0,123694.0,950.0,1293.0,87532.0,4313.0,0.0
2014-01-01,1104.0,44286.0,11881.0,50317.0,80367.0,8444.0,19422.0,177.0,92238.0,1014.0,1488.0,68487.0,5702.0,0.0
2015-01-01,1106.0,46489.0,4185.0,41333.0,59645.0,8770.0,20123.0,182.0,81664.0,836.0,1280.0,55460.0,4684.0,0.0
2016-01-01,-988.0,46649.0,5337.0,44445.0,41362.0,8521.0,19457.0,179.0,62315.0,658.0,1310.0,36024.0,5037.0,0.0
2017-01-01,382.0,46598.0,7060.0,36314.0,48065.0,8928.0,20550.0,217.0,75115.0,480.0,1148.0,41005.0,4115.0,0.0
2018-01-01,301.0,46899.0,15747.0,29968.0,47877.0,9546.0,21540.0,247.0,81024.0,301.0,1071.0,32131.0,3396.0,0.0
2019-01-01,-117.0,47526.0,11827.0,28051.0,45612.0,10390.0,21764.0,600.0,80603.0,440.0,1007.0,33785.0,3179.0,0.0
2020-01-01,1243.0,48097.0,16611.0,28937.0,62956.0,10109.0,22016.0,578.0,96047.0,376.0,1060.0,46344.0,2409.0,0.0
2021-01-01,1661.0,50665.0,27731.0,24180.0,103277.0,10386.0,22906.0,481.0,142360.0,482.0,1124.0,75546.0,615.0,0.0
2022-01-01,1731.0,56775.0,39501.0,22718.0,135426.0,11363.0,25297.0,654.0,185544.0,520.0,1436.0,95925.0,2557.0,0.0
2023-01-01,722.0,59343.0,29238.0,21899.0,100506.0,11575.0,26651.0,889.0,155866.0,534.0,1436.0,71268.0,2482.0,0.0
